pid,_date,derivativo_link,dlc_link,format,iiif_json,_name,native_jpg,shelf_location,subjects,summary,title
47,Jun-32,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341170/,https://dlc.library.columbia.edu/catalog/cul:80gb5mkm8m,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341170/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341170/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, June 1932.",Butler Library Construction 6
48,6-Feb-33,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341219/,https://dlc.library.columbia.edu/catalog/cul:r4xgxd25j8,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341219/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341219/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 6 February 1933.",Butler Library Construction 21
49,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341000/,https://dlc.library.columbia.edu/catalog/cul:pc866t1gdc,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341000/info.json,,"https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341000/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior), Historical Photograph Collection",Academic libraries; New York (N.Y.),Delivery desk station near a book conveyor with gravity discharge in South Hall (Butler Library),Book Chute
50,between 1934 and 2009,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341026/,https://dlc.library.columbia.edu/catalog/cul:3n5tb2rc1d,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341026/info.json,,"https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341026/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.),View from below of one of the exterior light fixtures on the front of Butler Library.,Butler Library Exterior Lamp
51,5-Jan-33,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341098/,https://dlc.library.columbia.edu/catalog/cul:z8w9ghx3vv,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341098/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341098/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,Butler Library construction 5 January 1933.,Butler Library Construction 19
52,14-May-32,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341257/,https://dlc.library.columbia.edu/catalog/cul:jh9w0vt4q7,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341257/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341257/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 14 May 1932.",Butler Library Construction 1
53,25-Sep-36,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341011/,https://dlc.library.columbia.edu/catalog/cul:tx95x69pph,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341011/info.json,Associated Press,"https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341011/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; Vandalism; New York (N.Y.); Butler Library,"'While Columbia University guards were lunching early today [September 25, 1936], a well-organized squad of vandals daubed this red curtain of paint on the university's new library.  Work was believed done either by painters' union or students sympathizing with Bob Burke expulsion.  Paint is stain that 'sticks.''",Butler Library Painted Red
54,26-Aug-32,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:340961/,https://dlc.library.columbia.edu/catalog/cul:12jm63xswh,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:340961/info.json,"Beals, A. Tennyson","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:340961/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 26 August 1932.",Butler Library Construction 11
55,between 1934 and 2009,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341120/,https://dlc.library.columbia.edu/catalog/cul:tmpg4f4r5z,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341120/info.json,,"https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341120/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of Butler Library main entrance, with a Columbia security vehicle and a kid in the foreground.",Butler Library Entrance
56,6-Jun-32,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341272/,https://dlc.library.columbia.edu/catalog/cul:47d7wm382c,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341272/info.json,"Beals, A. Tennyson","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341272/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 6 June 1932.",Butler Library Construction 2
57,1934,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341247/,https://dlc.library.columbia.edu/catalog/cul:bk3j9kd5cd,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341247/info.json,"Rothschild, Albert","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341247/full/!768,768/0/native.jpg","Box no. Box 185, Folder no. Folder 27 (Events - Awards - Craftsmanship Award, 1934), Historical Photograph Collection",Academic libraries; Award presentations; New York (N.Y.); Butler Library,"President Nicholas Murray Butler handing out a Craftsmanship Award in front of South Hall (Butler Library), 1934.",Craftsmanship Award Presentation
58,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341255/,https://dlc.library.columbia.edu/catalog/cul:3xsj3tx9j3,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341255/info.json,,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341255/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,Students playing football or possible rugby on lawn in front of Journalism Building with Butler Library in the background.,Ball Playing in Front of Butler
59,1934,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341150/,https://dlc.library.columbia.edu/catalog/cul:xpnvx0k6vq,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341150/info.json,"Rothschild, Albert","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341150/full/!768,768/0/native.jpg","Box no. Box 185, Folder no. Folder 27(Events - Awards - Craftsmanship Award, 1934), Historical Photograph Collection",Academic libraries; Award presentations; New York (N.Y.); Butler Library,Group photograph of the 1934 Craftsmanship Award winners with President Nicholas Murray Butler in front of South Hall (Butler Library).,Craftsmanship Award Winners
60,between 1934 and 2009,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341253/,https://dlc.library.columbia.edu/catalog/cul:r7sqv9s51s,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341253/info.json,"Bubley, Esther","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341253/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 11 (Administration - Provost - Libraries, Butler, Rare book and Manuscript), Historical Photograph Collection",Manuscripts (Papyri); Scholars; New York (N.Y.),Two scholars (one of whom is Professor John Day) looking at papyrus with magnifying glass in the Rare Book and Manuscript Library.,Examining Papyrus
61,circa 1896,https://derivativo-1.library.columbia.edu/iiif/2/cul:d7wm37pw04/,https://dlc.library.columbia.edu/catalog/cul:v15dv41p69,photographs,https://derivativo-1.library.columbia.edu/iiif/2/cul:d7wm37pw04/info.json,Pach Brothers (Firm),"https://derivativo-1.library.columbia.edu/iiif/2/cul:d7wm37pw04/full/!768,768/0/native.jpg",OS 17,College musicals; Banjoists; Columbia University,,"Banjo Club, 1894-95"
62,1977,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341059/,https://dlc.library.columbia.edu/catalog/cul:63xsj3txpb,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341059/info.json,,"https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341059/full/!768,768/0/native.jpg","Box no. Box 190, Folder no. Folder 10 (Events - Commencement - 1977), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,18 May 1977 Commencement ceremony. Procession of University Trustees from Butler Library to Low Plaza.,Commencement Procession
63,1954,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341066/,https://dlc.library.columbia.edu/catalog/cul:2z34tmpgh8,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341066/info.json,,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341066/full/!768,768/0/native.jpg","Box no. MS 149, Folder no. Folder 2 (Bicentennial - Exhibits - Columbia University, New York, 1954), Historical Photograph Collection",Academic libraries; New York (N.Y.),Woman looking at bulletin board containing examples of the media coverage for Columbia University's Bicentennial in 1954.,Columbia Bicentennial Coverage
64,10-Aug-33,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341245/,https://dlc.library.columbia.edu/catalog/cul:ns1rn8pkdf,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341245/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341245/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 10 August 1933.",Butler Library Construction 27
65,1934,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341266/,https://dlc.library.columbia.edu/catalog/cul:hhmgqnk9nr,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341266/info.json,"Beals, A. Tennyson","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341266/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of completed South Hall (Butler Library), 1934.",Butler Library (South Hall) Completed
66,20-Apr-33,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341259/,https://dlc.library.columbia.edu/catalog/cul:z612jm64bv,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341259/info.json,"Beals, A. Tennyson","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341259/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 20 April 1933.",Butler Library Construction 23
67,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341124/,https://dlc.library.columbia.edu/catalog/cul:63xsj3txpc,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341124/info.json,"Hartmann, Erich, 1922 July 29-; Magnum Photos","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341124/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 3 (Administration - Provost - Libraries, Butler Cataloging Department), Historical Photograph Collection",Academic libraries; Library employees; New York (N.Y.),Image of a cataloging librarian at work behind two carousels of _date stamps.,Cataloging Librarian
68,between 1934 and 2009,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341103/,https://dlc.library.columbia.edu/catalog/cul:gmsbcc2g43,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341103/info.json,"Bubley, Esther","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341103/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 3 (Administration - Provost - Libraries, Butler Cataloging Department), Historical Photograph Collection",Card catalogs; Priests; New York (N.Y.); Butler Library,Image of a priest looking through card catalog.,Consulting the Card Catalog
69,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341085/,https://dlc.library.columbia.edu/catalog/cul:pg4f4qrfxf,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341085/info.json,"Warman, Manny, -1983","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341085/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 10 (Buildings & Grounds - Morningside - Butler Library, School of Business), Historical Photograph Collection",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,View of students in the Business Library reading room located in Butler Library.,Business Library Reading Room
70,19-May-33,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340963/,https://dlc.library.columbia.edu/catalog/cul:jq2bvq83qc,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340963/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340963/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 19 May 1933.",Butler Library Construction 25
71,circa 1934,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341182/,https://dlc.library.columbia.edu/catalog/cul:z8w9ghx3vt,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341182/info.json,"Wurts Bros. (New York, N.Y.)","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341182/full/!768,768/0/native.jpg","""Box no. Box 162, Folder no. Folder 7 (Buildings & Grounds - Morningside - Butler library, Album 'The New Library building of Columbia University, Gift of Edward S. Harkness,1934'), Historical Photograph Collection""",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,"View of the Business Library Reading Room in South Hall (Butler Library), ca. 1934.",Business Library Reading Room
72,22-Dec-32,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340977/,https://dlc.library.columbia.edu/catalog/cul:2jm63xsjgj,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340977/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:340977/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 22 December 1932.",Butler Library Construction 18
73,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340994/,https://dlc.library.columbia.edu/catalog/cul:ngf1vhhmwn,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340994/info.json,,"https://derivativo-2.library.columbia.edu/iiif/2/ldpd:340994/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View of Butler Library as seen from the entrance of Low Memorial Library.,Butler Library from Low Library Entrance
74,9-Mar-33,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341184/,https://dlc.library.columbia.edu/catalog/cul:mkkwh70s9k,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341184/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341184/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 9 March 1933.",Butler Library Construction 22
75,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341189/,https://dlc.library.columbia.edu/catalog/cul:djh9w0vthv,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341189/info.json,,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341189/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View of equipment in the Conservation work room.,Conservation Work Room
76,"between August 20 and September 19, 1934",https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341052/,https://dlc.library.columbia.edu/catalog/cul:sqv9s4mwmz,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341052/info.json,Sprague,"https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341052/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 9 (Administration - Provost - Libraries, Butler Transfer of Books from Low), Historical Photograph Collection",College campuses; New York (N.Y.),"View of one portion of the book conveyor system from behind the Alma Mater statue on Low Plaza. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).",Book Transfer
77,15-Jun-32,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341024/,https://dlc.library.columbia.edu/catalog/cul:j9kd51c5q3,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341024/info.json,"Beals, A. Tennyson","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341024/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 15 June 1932.",Butler Library Construction 3
78,between 1934 and 2009,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341087/,https://dlc.library.columbia.edu/catalog/cul:b2rbnzs7vn,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341087/info.json,,"https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341087/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View of staff work spaces in the Conservation work room.,Conservation Work Room
79,28-Jun-32,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341107/,https://dlc.library.columbia.edu/catalog/cul:0cfxpnvxbc,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341107/info.json,"Beals, A. Tennyson","https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341107/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 28 June 1932.",Butler Library Construction 5
80,between 1934 and 2009,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341167/,https://dlc.library.columbia.edu/catalog/cul:pnvx0k6dzz,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341167/info.json,"Warman, Manny, -1983","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341167/full/!768,768/0/native.jpg","Box no. Box 129, Folder no. Folder 2 (Academics - Affiliated Institutions - Columbia University Press), Historical Photograph Collection",Academic libraries; College students; New York (N.Y.),"'Theodore Shabad, assistant editor of the Gazetteer, checks data on source which include a Communist atlas published in 1950, and the China Postal Guide in both Chinese and English editions. '",Checking Sources
81,between 1934 and 2009,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:340970/,https://dlc.library.columbia.edu/catalog/cul:2fqz612k18,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:340970/info.json,"Warman, Manny, -1983","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:340970/full/!768,768/0/native.jpg","Box no. MS 162, Folder no. Folder 13, Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of Butler Library through foliage and a fence, looking west.",Butler Library - Looking West
82,21-Jul-32,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341007/,https://dlc.library.columbia.edu/catalog/cul:9w0vt4b8vq,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341007/info.json,"Beals, A. Tennyson","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341007/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 21 July 1932.",Butler Library Construction 8
83,between 1934 and 2009,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341283/,https://dlc.library.columbia.edu/catalog/cul:zpc866t1ws,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341283/info.json,,"https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341283/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 14 (Buildings & Grounds - Morningside - Butler Library, Interior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View of paper rolls in the Conservation department work room.,Conservation Work Room
84,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341202/,https://dlc.library.columbia.edu/catalog/cul:qv9s4mw70f,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341202/info.json,,"https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341202/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,View of students in Butler Library's Browsing Room.,Browsing Room
85,1953,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341076/,https://dlc.library.columbia.edu/catalog/cul:zw3r2280x3,photographs,https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341076/info.json,,"https://derivativo-4.library.columbia.edu/iiif/2/ldpd:341076/full/!768,768/0/native.jpg","Box no. Box 189, Folder no. Folder 9 (Events - Commencement - 1953), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"1953 Columbia graduate, holding two children, having his picture taken after the ceremony is over.",Commencement 1953
86,circa 1934,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341033/,https://dlc.library.columbia.edu/catalog/cul:h44j0zpcnw,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341033/info.json,"Wurts Bros. (New York, N.Y.)","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341033/full/!768,768/0/native.jpg","""Box no. Box 162, Folder no. Folder 7 (Buildings & Grounds - Morningside - Butler library, Album 'The New Library building of Columbia University, Gift of Edward S. Harkness,1934'), Historical Photograph Collection""",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,"View of South Hall (Butler Library) browsing room, ca. 1934.",Browsing Room
87,between 1934 and 2009,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341270/,https://dlc.library.columbia.edu/catalog/cul:83bk3j9ks7,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341270/info.json,"Ballou, Hubbard W.","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341270/full/!768,768/0/native.jpg","Box no. Box 138, Folder no. Folder 2 (Administration - Provost - Libraries, Butler Binding Department), Historical Photograph Collection",Academic libraries; Bookbinding; New York (N.Y.); Butler Library,Employees at work in the binding room with piles of books everywhere.,Binding Department
88,7-Dec-32,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341031/,https://dlc.library.columbia.edu/catalog/cul:zgmsbcc2v6,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341031/info.json,"Beals, A. Tennyson","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341031/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 7 December 1932.",Butler Library Construction 17
89,circa 1934,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341063/,https://dlc.library.columbia.edu/catalog/cul:xgxd2547sv,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341063/info.json,"Wurts Bros. (New York, N.Y.)","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341063/full/!768,768/0/native.jpg","""Box no. Box 162, Folder no. Folder 7 (Buildings & Grounds - Morningside - Butler library, Album 'The New Library building of Columbia University, Gift of Edward S. Harkness,1934'), Historical Photograph Collection""",Academic libraries; Reading rooms; New York (N.Y.); Butler Library,"View of people sitting in an alcove in South Hall (Butler Library) browsing room, ca. 1934.",Alcove in Browsing Room
90,5-Apr-33,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341206/,https://dlc.library.columbia.edu/catalog/cul:fxpnvx0kks,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341206/info.json,"Beals, A. Tennyson","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341206/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 12 (Buildings & Grounds - Morningside - Butler Library, Construction 1933-1934), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 5 April 1933.",Butler Library Construction 24
91,8-Sep-37,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341126/,https://dlc.library.columbia.edu/catalog/cul:2547d7wmf4,photographs,https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341126/info.json,"Bogert, W.L.","https://derivativo-2.library.columbia.edu/iiif/2/ldpd:341126/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"View of Butler Library as seen from steps of Avery Library, 8 September 1937.",Butler Library from Avery
92,25-Nov-32,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341178/,https://dlc.library.columbia.edu/catalog/cul:7pvmcvdnr4,photographs,https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341178/info.json,"Beals, A. Tennyson","https://derivativo-1.library.columbia.edu/iiif/2/ldpd:341178/full/!768,768/0/native.jpg","Box no. Box 162, Folder no. Folder 11 (Buildings & Grounds - Morningside - Butler Library, Construction 1932), Historical Photograph Collection",Academic libraries; New York (N.Y.); Butler Library,"Butler Library construction, 25 November 1932.",Butler Library Construction 16
93,1954,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341208/,https://dlc.library.columbia.edu/catalog/cul:44j0zpc8k3,photographs,https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341208/info.json,"Warman, Manny, -1983","https://derivativo-3.library.columbia.edu/iiif/2/ldpd:341208/full/!768,768/0/native.jpg","Box no. Box 149, Folder no. Folder 2 (Bicentennial - Exhibits - Columbia University, New York, 1954), Historical Photograph Collection",Academic libraries; Prohibited books; New York (N.Y.),'Students pore over a display of 'Banned Books of All Ages' in Butler Library at Columbia University which is observing its 200th anniversary throughout 1954.',Banned Books' Display
